,Company Brand,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount,Stage,Year
1550,Buddy4Study.com,Unknown,Noida,Business Intelligence,Buddy4Study is the best scholarship search engine for Indian students. It also helps organizations to set up their own scholarship schemes.,Unknown,Unknown,3000000.0,Series A,2018
1551,Predible Health,Unknown,Bangalore,Health,Healthcare devices for cancer detection,Unknown,Unknown,1300000.0,Pre-series A,2018
1552,Syncremedies Healthcare Pvt Ltd,Unknown,Bangalore,Health,"Syncremedies is an Integrated Medicine service that brings together Allopathy, Ayurveda and Homeopathy to treat chronic ailments.",Unknown,Unknown,1300000.0,Pre-series A,2018
1553,Blueleaf Cyberspace Systems,Unknown,Bangalore,Technology,Bluleaf Cyberspace is Cloud Based Software Company.,Unknown,Unknown,1300000.0,Pre-series A,2018
1554,Toffee,Unknown,Gurgaon,—,"Toffee is a bite size, micro-event & contextual insurtech startup which aims to de-jargonise the insurance buying experience.",Unknown,Unknown,1500000.0,Pre-series A,2018
1555,ORO Wealth,Unknown,Mumbai,—,Online wealth management platform,Unknown,Unknown,1600000.0,Series A,2018
1556,HealWell24,Unknown,Mumbai,LifeStyle,"HealWell24 is India's emerging technology-empowered healthcare company, aiming to bring world-class quality healthcare services anywhere.",Unknown,Unknown,200000.0,Pre-series A,2018
1557,Acko General Insurance,Unknown,Mumbai,Finance,Acko General Insurance is a digital insurance company in India that redefines insurance for the consumers.,Unknown,Unknown,12000000.0,Series A,2018
1558,arzooo.com,Unknown,Bangalore,Commerce,E-commerce website promising the best price on any product a consumer buys anywhere on the internet.,Unknown,Unknown,217391.30434782608,Pre-series A,2018
1559,Bonphul Air Products,Unknown,New Delhi,Technology,A clean tech product Company,Unknown,Unknown,289855.0724637681,Angel Round,2018
1560,DheeYantra Research Labs,Unknown,Bangalore,Technology,"DheeYantra is building a cognitive conversational chatbot platform by name ""dhee.ai"" for vernacular languages",Unknown,Unknown,1300000.0,Pre-series A,2018
1561,Edyoo,Unknown,Bangalore,Education,"Edyoo.com is a technology platform that offers the most intuitive design, flexibility, and ease of use.",Unknown,Unknown,1000000.0,Pre-series A,2018
1562,Chtrbox,Unknown,Mumbai,Business Intelligence,Chtrbox connects social media influencers with brands .,Unknown,Unknown,144927.53623188406,Angel Round,2018
1563,Aashiyaan Housing and Development Finance,Unknown,Kolkata,Finance,Provide housing finance to those in the informal sector enabling the hither to un-served to own a home of their own.,Unknown,Unknown,1956521.7391304348,Pre-series A,2018
1564,BetterPlace Safety Solutions Pvt. Ltd.,Unknown,Bangalore,Business Intelligence,"BetterPlace provides businesses with contractor workforce management, including onboarding, training, and background checks.",Unknown,Unknown,3000000.0,Series A,2018
1565,Cashkumar,Unknown,Bangalore,Finance,A P2P Lending Platform connecting millions of financially under-served & new to credit borrowers with investment savvy lenders in India,Unknown,Unknown,724637.6811594203,Pre-series A,2018
1566,Rocketium,Unknown,Bangalore,Commerce,Easy video creation for social media.,Unknown,Unknown,289855.0724637681,Pre-series A,2018
1567,FreightBazaar,Unknown,Hyderabad,Transport,FreightBazaar.com is an online platform that connects Truck suppliers with Truck users.,Unknown,Unknown,1300000.0,Pre-series A,2018
1568,OPEN,Unknown,Bangalore,Finance,Open up to a new world of Banking,Unknown,Unknown,1300000.0,Pre-series A,2018
1569,mfine,Unknown,Bangalore,Hospitality,Hospital & Health Care Start up,Unknown,Unknown,4200000.0,Series A,2018
1570,Earth Food,Unknown,Pune,Food & Beverages,Earth Food is a healthy Food Start Up.,Unknown,Unknown,927536.231884058,Pre-series A,2018
1571,Charcoal Eats,Unknown,Mumbai,Food & Beverages,Charcoal Eats aims to bring Dominos style standardisation.,Unknown,Unknown,724637.6811594203,Pre-series A,2018
